advocacy	advocacy%1:04:00::
vinegar	vinegar%1:13:00::
half-moon	half-moon%1:08:00::
detroit	detroit%1:15:00::
balsam	balsam%1:20:00::
sinning	sinning%1:04:00::
tractarian	tractarian%1:18:00::
camping	camping%1:04:00::
oven	oven%1:06:00::
protein	protein%1:27:00::
constable	constable%1:18:00::
thyroid	thyroid%1:08:00::
blatancy	blatancy%1:07:00::
commentator	commentator%1:18:01::
traveler	traveler%1:18:00::
perchlorate	perchlorate%1:27:00::
overhang	overhang%1:06:00::
serge	serge%1:06:00::
contingency	contingency%1:11:00::
gig	gig%1:06:02::
exhaustion	exhaustion%1:26:00::
victrola	victrola%1:06:00::
storehouse	storehouse%1:06:00::
filly	filly%1:05:00::
stairs	stairs%1:06:00::
wheelchair	wheelchair%1:06:00::
intervention	intervention%1:04:00::
banjo	banjo%1:06:00::
stair	stair%1:06:00::
swami	swami%1:18:00::
palermo	palermo%1:15:00::
hydrogen	hydrogen%1:27:00::
slovenliness	slovenliness%1:26:00::
blindness	blindness%1:26:00::
acolyte	acolyte%1:18:00::
agate	agate%1:27:00::
protege	protege%1:18:00::
keepsake	keepsake%1:06:00::
shortstop	shortstop%1:18:00::
efficacy	efficacy%1:07:00::
apology	apology%1:10:00::
self-pride	self-pride%1:12:00::
armadillo	armadillo%1:05:00::
icebox	icebox%1:06:00::
gem	gem%1:06:01::
repugnance	repugnance%1:12:00::
payday	payday%1:28:00::
libretto	libretto%1:10:00::
england	england%1:15:00::
misanthrope	misanthrope%1:18:00::
self-preservation	self-preservation%1:04:00::
connecticut	connecticut%1:15:00::
depositor	depositor%1:18:00::
dung	dung%1:27:00::
confines	confines%1:07:00::
dune	dune%1:17:00::
thailand	thailand%1:15:00::
inception	inception%1:11:00::
millivoltmeter	millivoltmeter%1:06:00::
swatch	swatch%1:06:00::
denouement	denouement%1:11:00::
bread	bread%1:13:00::
hyperplasia	hyperplasia%1:26:00::
synergism	synergism%1:22:00::
deltoid	deltoid%1:08:00::
storeria	storeria%1:05:00::
morrow	morrow%1:28:00::
poster	poster%1:10:00::
swash	swash%1:11:00::
powwow	powwow%1:10:00::
christianity	christianity%1:09:00::
sonnet	sonnet%1:10:00::
collusion	collusion%1:09:00::
sawhorse	sawhorse%1:06:00::
sparrow	sparrow%1:05:00::
falcon	falcon%1:05:00::
resemblance	resemblance%1:07:00::
centerfield	centerfield%1:06:00::
worktable	worktable%1:06:00::
dissociation	dissociation%1:04:00::
remains	remains%1:17:00::
nursery	nursery%1:06:01::
tokyo	tokyo%1:15:00::
redcoat	redcoat%1:18:00::
disassembly	disassembly%1:04:00::
bewilderment	bewilderment%1:09:00::
fixture	fixture%1:06:00::
batwing	batwing%1:06:00::
sward	sward%1:17:00::
loudspeaker	loudspeaker%1:06:00::
leyte	leyte%1:04:00::
ulceration	ulceration%1:26:00::
spinnability	spinnability%1:07:00::
voltmeter	voltmeter%1:06:00::
stockbroker	stockbroker%1:18:00::
quickie	quickie%1:04:00::
outfield	outfield%1:06:00::
divergence	divergence%1:04:00::
stockade	stockade%1:06:01::
blemish	blemish%1:07:00::
retrospect	retrospect%1:09:00::
microorganism	microorganism%1:05:00::
slipper	slipper%1:06:00::
adherent	adherent%1:18:00::
tubule	tubule%1:08:00::
bequest	bequest%1:21:00::
instinct	instinct%1:09:00::
concessionaire	concessionaire%1:18:00::
bronchiolitis	bronchiolitis%1:26:00::
graveyard	graveyard%1:15:00::
centimeter	centimeter%1:23:00::
hypoadrenocorticism	hypoadrenocorticism%1:26:00::
vellum	vellum%1:27:01::
leprosy	leprosy%1:26:00::
lullaby	lullaby%1:10:00::
unbalance	unbalance%1:26:00::
projectile	projectile%1:06:00::
affinity	affinity%1:19:02::
profanity	profanity%1:10:00::
lung	lung%1:08:00::
competitor	competitor%1:18:00::
facet	facet%1:09:00::
oblivion	oblivion%1:26:00::
wingback	wingback%1:18:00::
ghana	ghana%1:15:00::
hemisphere	hemisphere%1:15:00::
duke	duke%1:18:00::
hideaway	hideaway%1:15:00::
tabulation	tabulation%1:10:00::
exclamation	exclamation%1:10:00::
headlinese	headlinese%1:10:00::
charger	charger%1:05:00::
homogenate	homogenate%1:27:00::
glacier	glacier%1:17:00::
angel	angel%1:18:00::
cigarette	cigarette%1:06:00::
gunpowder	gunpowder%1:27:00::
photography	photography%1:04:00::
thamnophis	thamnophis%1:05:00::
nighttime	nighttime%1:28:00::
shopper	shopper%1:18:00::
revelry	revelry%1:04:00::
luger	luger%1:06:00::
misunderstanding	misunderstanding%1:10:00::
vaudeville	vaudeville%1:10:00::
adjudication	adjudication%1:04:00::
journalism	journalism%1:10:00::
showpiece	showpiece%1:06:00::
angst	angst%1:12:00::
marathon	marathon%1:04:00::
legislator	legislator%1:18:00::
journalist	journalist%1:18:00::
pyrex	pyrex%1:27:00::
halftime	halftime%1:28:00::
pretense	pretense%1:04:00::
referendum	referendum%1:04:00::
spatiality	spatiality%1:07:00::
frontage	frontage%1:07:00::
impasse	impasse%1:26:00::
cubism	cubism%1:14:00::
millidegree	millidegree%1:23:00::
cloth	cloth%1:06:00::
jimhickey	jimhickey%1:18:00::
concierge	concierge%1:18:00::
desertion	desertion%1:04:00::
visitor	visitor%1:18:00::
steroid	steroid%1:27:00::
victor	victor%1:18:01::
fascination	fascination%1:26:00::
wildcatter	wildcatter%1:18:00::
layman	layman%1:18:00::
wordsworth	wordsworth%1:18:00::
anthropology	anthropology%1:09:00::
sponsorship	sponsorship%1:04:01::
diarrhea	diarrhea%1:26:00::
ironworker	ironworker%1:18:00::
flu	flu%1:26:00::
remuneration	remuneration%1:21:00::
clay	clay%1:27:00::
pulley	pulley%1:06:00::
fig	fig%1:10:00::
potshot	potshot%1:04:00::
precedence	precedence%1:26:00::
serum	serum%1:08:00::
dweller	dweller%1:18:00::
duct	duct%1:08:00::
skepticism	skepticism%1:09:00::
decade	decade%1:28:00::
turban	turban%1:06:00::
wishing	wishing%1:12:00::
prizefight	prizefight%1:11:00::
complaisance	complaisance%1:07:00::
imprecation	imprecation%1:10:00::
dimethylglyoxime	dimethylglyoxime%1:27:00::
clan	clan%1:14:00::
millimeter	millimeter%1:23:00::
clam	clam%1:05:00::
opener	opener%1:11:00::
powerfulness	powerfulness%1:07:00::
stationery	stationery%1:10:00::
openwork	openwork%1:06:00::
albumin	albumin%1:27:00::
gymnast	gymnast%1:18:00::
lizard	lizard%1:05:00::
cartridge	cartridge%1:06:00::
precinct	precinct%1:15:00::
weltanschauung	weltanschauung%1:09:00::
sniper	sniper%1:18:00::
totality	totality%1:26:00::
apache	apache%1:18:00::
takings	takings%1:21:00::
retrospective	retrospective%1:14:00::
observance	observance%1:04:00::
hijacker	hijacker%1:18:00::
immunity	immunity%1:26:00::
hood	hood%1:18:00::
hoof	hoof%1:05:00::
dad	dad%1:18:00::
semitrance	semitrance%1:09:00::
factory	factory%1:06:00::
bile	bile%1:08:00::
shoot-down	shoot-down%1:04:00::
driveway	driveway%1:06:00::
coal	coal%1:27:00::
decoration	decoration%1:06:00::
shrapnel	shrapnel%1:06:00::
intimacy	intimacy%1:07:02::
folks	folks%1:14:00::
cud	cud%1:13:01::
extremum	extremum%1:15:00::
rotation	rotation%1:04:00::
irruption	irruption%1:04:00::
recorder	recorder%1:06:01::
cowling	cowling%1:06:00::
heading	heading%1:10:00::
foresight	foresight%1:07:00::
pulsation	pulsation%1:11:00::
chapel	chapel%1:06:00::
savings	savings%1:21:00::
microsecond	microsecond%1:28:00::
quiz	quiz%1:10:00::
demonstrative	demonstrative%1:10:00::
manuscript	manuscript%1:10:00::
sipper	sipper%1:18:00::
cur	cur%1:05:00::
paramagnet	paramagnet%1:06:00::
yacht	yacht%1:06:00::
acre	acre%1:23:00::
oscillator	oscillator%1:06:00::
starboard	starboard%1:06:00::
deathbed	deathbed%1:28:00::
oyster	oyster%1:05:00::
seacoast	seacoast%1:17:00::
inhalation	inhalation%1:04:00::
sinner	sinner%1:18:00::
labyrinth	labyrinth%1:06:00::
preposition	preposition%1:10:00::
inundation	inundation%1:19:00::
discomfited	discomfited%1:14:00::
sunshade	sunshade%1:06:00::
necklace	necklace%1:06:00::
glaucoma	glaucoma%1:26:00::
phrasing	phrasing%1:04:00::
remnant	remnant%1:24:00::
grudge	grudge%1:12:00::
focusing	focusing%1:09:00::
misbehavior	misbehavior%1:04:00::
mouthful	mouthful%1:23:00::
scherzo	scherzo%1:10:00::
buildup	buildup%1:04:00::
constriction	constriction%1:25:00::
registration	registration%1:04:00::
aliquot	aliquot%1:23:00::
dadaism	dadaism%1:14:00::
equipment	equipment%1:06:00::
eyes	eyes%1:09:00::
stardom	stardom%1:26:00::
coon	coon%1:18:01::
hipline	hipline%1:15:01::
prevalence	prevalence%1:07:00::
gulping	gulping%1:04:01::
anonymity	anonymity%1:26:00::
importunity	importunity%1:10:00::
cone	cone%1:06:00::
caribbean	caribbean%1:17:00::
springboard	springboard%1:06:00::
arizona	arizona%1:15:00::
reckoning	reckoning%1:09:00::
landlord	landlord%1:18:00::
lifetime	lifetime%1:28:00::
insolence	insolence%1:07:00::
fountainhead	fountainhead%1:10:00::
towboat	towboat%1:06:00::
fibrin	fibrin%1:27:00::
coma	coma%1:09:00::
tranquilizer	tranquilizer%1:06:00::
banister	banister%1:06:00::
puppy	puppy%1:05:00::
swede	swede%1:18:00::
cop	cop%1:18:00::
obsidian	obsidian%1:27:00::
place-kicking	place-kicking%1:04:00::
hypothyroidism	hypothyroidism%1:26:00::
cps	cps%1:28:00::
cavity	cavity%1:17:00::
headlight	headlight%1:06:00::
burner	burner%1:06:00::
droplet	droplet%1:23:00::
self-determination	self-determination%1:26:00::
grenade	grenade%1:06:00::
simile	simile%1:10:00::
profitability	profitability%1:07:00::
cork	cork%1:27:00::
blinker	blinker%1:06:00::
hurricane	hurricane%1:19:00::
traitor	traitor%1:18:00::
repairman	repairman%1:18:00::
glycerol	glycerol%1:27:00::
clairvoyance	clairvoyance%1:10:00::
seduction	seduction%1:04:00::
contrition	contrition%1:12:00::
vehemence	vehemence%1:07:01::
preferment	preferment%1:04:00::
coincidence	coincidence%1:11:00::
walkout	walkout%1:04:00::
cord	cord%1:06:00::
greatcoat	greatcoat%1:06:00::
bandage	bandage%1:06:00::
mayflower	mayflower%1:06:00::
psychopath	psychopath%1:18:00::
statuette	statuette%1:06:00::
setback	setback%1:11:01::
goat	goat%1:05:00::
disenfranchisement	disenfranchisement%1:04:00::
thyrotrophin	thyrotrophin%1:27:00::
half-brother	half-brother%1:18:00::
exemption	exemption%1:26:00::
bursitis	bursitis%1:26:00::
unfolding	unfolding%1:22:00::
floodhead	floodhead%1:19:00::
lowland	lowland%1:17:00::
thrombus	thrombus%1:26:00::
airflow	airflow%1:11:00::
cuckoo-bumblebee	cuckoo-bumblebee%1:05:00::
noninterference	noninterference%1:10:00::
mobcap	mobcap%1:06:00::
saturday	saturday%1:28:00::
clannishness	clannishness%1:07:00::
retaliation	retaliation%1:04:00::
inspector	inspector%1:18:01::
half-intensity	half-intensity%1:07:00::
bandwidth	bandwidth%1:23:00::
one-thousandth	one-thousandth%1:23:00::
bonnet	bonnet%1:06:00::
drygoods	drygoods%1:06:00::
longshot	longshot%1:06:00::
chancel	chancel%1:06:00::
adam	adam%1:18:00::
two-baser	two-baser%1:04:00::
one-half	one-half%1:23:00::
borrower	borrower%1:18:00::
recipient	recipient%1:18:00::
indonesia	indonesia%1:15:00::
spider	spider%1:05:00::
dealings	dealings%1:04:02::
growling	growling%1:10:00::
secessionist	secessionist%1:18:00::
clearness	clearness%1:07:01::
ratio	ratio%1:24:01::
porcupine	porcupine%1:05:00::
freighter	freighter%1:06:00::
saleslady	saleslady%1:18:00::
masonry	masonry%1:06:00::
acapulco	acapulco%1:15:00::
barnful	barnful%1:23:00::
wrist	wrist%1:08:00::
idiosyncrasy	idiosyncrasy%1:07:00::
measuring	measuring%1:04:00::
ward-heeler	ward-heeler%1:18:00::
berry	berry%1:13:00::
fiberglass	fiberglass%1:27:00::
psychiatrist	psychiatrist%1:18:00::
vicar	vicar%1:18:00::
tuberculosis	tuberculosis%1:26:00::
chemistry	chemistry%1:09:00::
civilization	civilization%1:14:00::
taint	taint%1:26:00::
studio	studio%1:06:00::
joust	joust%1:11:00::
dante	dante%1:18:00::
haversack	haversack%1:06:00::
umbrella	umbrella%1:06:00::
ex-mayor	ex-mayor%1:18:00::
milliliter	milliliter%1:23:00::
dimer	dimer%1:27:00::
eeg	eeg%1:10:00::
christening	christening%1:04:00::
stratification	stratification%1:04:00::
staircase	staircase%1:06:00::
accreditation	accreditation%1:04:00::
enforcement	enforcement%1:04:00::
severalty	severalty%1:26:00::
janitor	janitor%1:18:00::
railroad	railroad%1:06:00::
odyssey	odyssey%1:04:00::
reorientation	reorientation%1:09:00::
knight-errant	knight-errant%1:18:00::
phoenix	phoenix%1:15:00::
swig	swig%1:04:00::
abdomen	abdomen%1:08:00::
nadir	nadir%1:26:00::
hegel	hegel%1:18:00::
stirrup	stirrup%1:06:00::
naprapath	naprapath%1:18:00::
demoralization	demoralization%1:04:00::
socialism	socialism%1:09:00::
strategist	strategist%1:18:00::
cherokee	cherokee%1:10:00::
fairytale	fairytale%1:10:00::
occupant	occupant%1:18:00::
aspirin	aspirin%1:06:00::
hyperemia	hyperemia%1:26:00::
overpayment	overpayment%1:21:00::
geometry	geometry%1:09:00::
bronchus	bronchus%1:08:00::
hardware	hardware%1:06:02::
horsemanship	horsemanship%1:09:00::
equivalence	equivalence%1:26:00::
vagabond	vagabond%1:17:00::
champagne	champagne%1:13:00::
waffle	waffle%1:13:00::
highroad	highroad%1:06:00::
sowbelly	sowbelly%1:13:00::
kansas	kansas%1:15:00::
pothole	pothole%1:17:00::
self-esteem	self-esteem%1:12:00::
wayside	wayside%1:06:00::
out-of-doors	out-of-doors%1:15:00::
tenderness	tenderness%1:07:00::
hemorrhage	hemorrhage%1:26:00::
highway	highway%1:06:00::
illness	illness%1:26:00::
fright	fright%1:12:00::
aureomycin	aureomycin%1:06:00::
wednesday	wednesday%1:28:00::
hotel	hotel%1:06:00::
spectrometer	spectrometer%1:06:00::
safe-conduct	safe-conduct%1:10:00::
foreknowledge	foreknowledge%1:10:00::
triviality	triviality%1:07:00::
poignancy	poignancy%1:26:00::
felicity	felicity%1:07:00::
safebreaker	safebreaker%1:18:00::
crystallite	crystallite%1:17:00::
bias	bias%1:09:00::
fracas	fracas%1:10:00::
statistic	statistic%1:09:00::
corruption	corruption%1:07:00::
ethos	ethos%1:07:00::
survival	survival%1:26:00::
coleridge	coleridge%1:18:00::
warhorse	warhorse%1:06:00::
nervousness	nervousness%1:12:00::
charleston	charleston%1:15:01::
neurosis	neurosis%1:26:00::
ecclesiasticism	ecclesiasticism%1:04:00::
refectory	refectory%1:06:00::
ignoramus	ignoramus%1:18:00::
promulgator	promulgator%1:18:00::
plantation	plantation%1:21:00::
aftereffect	aftereffect%1:19:00::
nightingale	nightingale%1:05:00::
hydroxide	hydroxide%1:27:00::
fallout	fallout%1:27:00::
stepmother	stepmother%1:18:00::
fur-piece	fur-piece%1:06:00::
indirection	indirection%1:04:00::
utensil	utensil%1:06:00::
bilharziasis	bilharziasis%1:26:00::
plumber	plumber%1:18:00::
bayonet	bayonet%1:06:00::
payroll	payroll%1:21:00::
stratagem	stratagem%1:04:00::
transience	transience%1:07:00::
ragamuffin	ragamuffin%1:18:00::
sirloin	sirloin%1:13:00::
sociality	sociality%1:07:00::
larva	larva%1:05:00::
windbag	windbag%1:18:00::
halfback	halfback%1:18:00::
daybreak	daybreak%1:28:00::
admonition	admonition%1:10:01::
chariot	chariot%1:06:00::
carload	carload%1:14:00::
embankment	embankment%1:06:00::
rectifier	rectifier%1:06:00::
marrowbone	marrowbone%1:13:00::
calibration	calibration%1:04:00::
insect	insect%1:05:00::
usefulness	usefulness%1:07:00::
piano	piano%1:06:00::
planting	planting%1:04:00::
exit	exit%1:06:00::
malignancy	malignancy%1:26:00::
distension	distension%1:04:00::
des	des%1:27:00::
overprotection	overprotection%1:04:00::
dew	dew%1:27:00::
ocher	ocher%1:07:00::
pulling	pulling%1:04:00::
convertible	convertible%1:06:00::
searchlight	searchlight%1:06:00::
dec	dec%1:28:00::
ethic	ethic%1:09:00::
falloff	falloff%1:22:00::
cavalcade	cavalcade%1:14:00::
anti-catholicism	anti-catholicism%1:09:00::
contemporaries	contemporaries%1:14:00::
circuitry	circuitry%1:06:00::
barbell	barbell%1:06:00::
blackmailer	blackmailer%1:18:00::
well-being	well-being%1:26:00::
layoff	layoff%1:04:00::
ballplayer	ballplayer%1:18:00::
striving	striving%1:04:00::
remembrance	remembrance%1:09:00::
packinghouse	packinghouse%1:06:01::
eyebrow	eyebrow%1:08:00::
infantry	infantry%1:14:00::
thumbnail	thumbnail%1:08:00::
marker	marker%1:06:00::
curbside	curbside%1:06:00::
reactant	reactant%1:27:00::
luncheon	luncheon%1:13:00::
batting	batting%1:04:00::
withe	withe%1:06:00::
swad	swad%1:14:00::
assiduity	assiduity%1:07:00::
summer	summer%1:28:00::
clientele	clientele%1:14:00::
clapping	clapping%1:10:00::
intermission	intermission%1:04:00::
holding	holding%1:04:00::
neoromanticism	neoromanticism%1:14:00::
mania	mania%1:16:00::
paging	paging%1:10:00::
orthodoxy	orthodoxy%1:07:00::
midwest	midwest%1:15:00::
necrosis	necrosis%1:19:00::
mobilization	mobilization%1:04:01::
blower	blower%1:06:00::
orthicon	orthicon%1:06:00::
john	john%1:06:00::
suitability	suitability%1:07:00::
predicator	predicator%1:10:00::
archangel	archangel%1:18:00::
taiwan	taiwan%1:15:00::
divan	divan%1:06:00::
bookshelf	bookshelf%1:06:00::
beginner	beginner%1:18:00::
pith	pith%1:20:00::
hawker	hawker%1:18:00::
wigmaker	wigmaker%1:18:00::
britain	britain%1:15:00::
trapper	trapper%1:18:00::
demolition	demolition%1:11:00::
troika	troika%1:06:00::
invalid	invalid%1:18:00::
description	description%1:10:01::
beadle	beadle%1:18:00::
townsman	townsman%1:18:00::
heir	heir%1:18:00::
logarithm	logarithm%1:10:00::
disrepute	disrepute%1:26:00::
veracity	veracity%1:07:00::
musketry	musketry%1:14:00::
heartbeat	heartbeat%1:11:00::
handclasp	handclasp%1:10:00::
rat	rat%1:05:00::
rbi	rbi%1:04:00::
gallbladder	gallbladder%1:08:00::
dime	dime%1:21:00::
repression	repression%1:26:00::
gunplay	gunplay%1:04:00::
cowpuncher	cowpuncher%1:18:00::
rag	rag%1:06:00::
advantage	advantage%1:07:00::
musket	musket%1:06:00::
isopleth	isopleth%1:15:00::
springtime	springtime%1:28:00::
broadway	broadway%1:15:00::
demagogue	demagogue%1:18:00::
inference	inference%1:09:00::
dagger	dagger%1:06:00::
wafer	wafer%1:27:00::
hollowness	hollowness%1:26:00::
rpm	rpm%1:28:00::
countershot	countershot%1:04:00::
avenue	avenue%1:04:00::
tango	tango%1:04:00::
careerism	careerism%1:04:00::
athleticism	athleticism%1:07:00::
resilience	resilience%1:07:00::
declivity	declivity%1:17:00::
premix	premix%1:13:00::
mon-khmer	mon-khmer%1:10:00::
reserves	reserves%1:14:00::
cliche	cliche%1:10:00::
prowler	prowler%1:18:00::
whodunit	whodunit%1:10:00::
myocardium	myocardium%1:08:00::
nemesis	nemesis%1:18:00::
python	python%1:05:00::
vigilance	vigilance%1:09:00::
predilection	predilection%1:09:00::
organism	organism%1:03:00::
perforation	perforation%1:06:00::
governess	governess%1:18:00::
proceedings	proceedings%1:04:00::
matsyendra	matsyendra%1:07:00::
coral	coral%1:07:00::
reproducibility	reproducibility%1:07:00::
recourse	recourse%1:04:00::
ethiopian	ethiopian%1:18:00::
utterance	utterance%1:10:00::
cheering	cheering%1:10:00::
patriotism	patriotism%1:07:00::
wakefulness	wakefulness%1:09:00::
abstractionism	abstractionism%1:06:00::
coyote	coyote%1:05:00::
steeple	steeple%1:06:00::
demeanor	demeanor%1:07:00::
deepening	deepening%1:22:00::
malediction	malediction%1:10:00::
janissary	janissary%1:18:01::
pier	pier%1:06:00::
verandah	verandah%1:06:00::
singularity	singularity%1:07:01::
overcoat	overcoat%1:06:00::
tropidoclonion	tropidoclonion%1:05:00::
poplin	poplin%1:06:00::
tournament	tournament%1:11:00::
patron	patron%1:18:00::
rug	rug%1:06:00::
receptacle	receptacle%1:06:00::
oklahoma	oklahoma%1:15:00::
proprietor	proprietor%1:18:00::
odds	odds%1:07:00::
apologist	apologist%1:18:00::
premonition	premonition%1:12:00::
levis	levis%1:06:00::
reich	reich%1:14:00::
midwatch	midwatch%1:28:00::
hanukkah	hanukkah%1:28:00::
whiskers	whiskers%1:08:00::
underbrush	underbrush%1:14:00::
timbre	timbre%1:07:00::
scientist	scientist%1:18:00::
unitarian	unitarian%1:18:00::
removal	removal%1:04:00::
aeon	aeon%1:18:00::
clotheshorse	clotheshorse%1:06:00::
newsletter	newsletter%1:10:00::
insanity	insanity%1:26:00::
insurrection	insurrection%1:04:00::
re-creation	re-creation%1:04:00::
suction	suction%1:19:00::
medal	medal%1:10:00::
homebound	homebound%1:14:00::
swimming	swimming%1:04:00::
lustre	lustre%1:07:00::
interpreting	interpreting%1:09:00::
rustler	rustler%1:18:00::
onlooker	onlooker%1:18:00::
seaquake	seaquake%1:11:00::
breastwork	breastwork%1:06:00::
artisan	artisan%1:18:00::
variability	variability%1:07:00::
apparition	apparition%1:18:00::
joss	joss%1:06:00::
rapport	rapport%1:24:00::
predomination	predomination%1:26:00::
duffer	duffer%1:18:00::
battle-ax	battle-ax%1:06:00::
pimp	pimp%1:18:00::
convexity	convexity%1:07:00::
cushioning	cushioning%1:06:00::
kneecap	kneecap%1:08:00::
traditionalist	traditionalist%1:18:00::
vibrancy	vibrancy%1:07:00::
ohio	ohio%1:15:00::
buying	buying%1:04:00::
kitten	kitten%1:05:00::
chagrin	chagrin%1:12:00::
nassau	nassau%1:15:00::
mamma	mamma%1:18:00::
beacon	beacon%1:10:00::
anecdote	anecdote%1:10:00::
proceeds	proceeds%1:21:00::
operagoer	operagoer%1:18:00::
belshazzar	belshazzar%1:18:00::
etiquette	etiquette%1:10:00::
jowl	jowl%1:08:00::
one-tenth	one-tenth%1:23:00::
scoreboard	scoreboard%1:06:00::
firecracker	firecracker%1:06:00::
preconception	preconception%1:09:00::
august	august%1:28:00::
indigestion	indigestion%1:26:00::
likeness	likeness%1:07:00::
letterhead	letterhead%1:10:00::
bombing	bombing%1:04:00::
diagnostician	diagnostician%1:18:00::
typhoid	typhoid%1:26:00::
calamity	calamity%1:11:00::
arithmetic	arithmetic%1:09:00::
tungsten	tungsten%1:27:00::
illustrator	illustrator%1:18:00::
immunoelectrophoresis	immunoelectrophoresis%1:22:00::
monitoring	monitoring%1:04:00::
anti-semitism	anti-semitism%1:09:00::
unwillingness	unwillingness%1:07:00::
dropout	dropout%1:18:00::
fanaticism	fanaticism%1:09:00::
prudence	prudence%1:07:00::
stealth	stealth%1:04:00::
insignificance	insignificance%1:07:00::
waterfall	waterfall%1:17:00::
smoking	smoking%1:04:00::
inroad	inroad%1:04:01::
italy	italy%1:15:00::
cleric	cleric%1:18:00::
pinball	pinball%1:04:00::
clergy	clergy%1:14:00::
sir	sir%1:18:00::
sis	sis%1:18:00::
seedbed	seedbed%1:06:00::
pennant	pennant%1:10:01::
drover	drover%1:18:00::
pallor	pallor%1:07:00::
bedside	bedside%1:15:00::
arteriole	arteriole%1:08:00::
alabaman	alabaman%1:18:00::
bible	bible%1:10:00::
agglutinin	agglutinin%1:27:00::
titer	titer%1:07:00::
bullyboy	bullyboy%1:18:00::
ruby	ruby%1:21:00::
vice	vice%1:07:00::
daddy	daddy%1:18:00::
department	department%1:14:00::
dispersion	dispersion%1:11:00::
double-crosser	double-crosser%1:18:00::
personage	personage%1:18:00::
suspension	suspension%1:27:00::
deceit	deceit%1:07:00::
sandwich	sandwich%1:13:00::
sec	sec%1:28:00::
ruck	ruck%1:14:00::
outlay	outlay%1:04:00::
respiration	respiration%1:04:00::
ancestry	ancestry%1:14:00::
criminality	criminality%1:26:00::
peril	peril%1:26:00::
actor	actor%1:18:00::
amateurishness	amateurishness%1:09:00::
buyer	buyer%1:18:00::
auditorium	auditorium%1:06:00::
patronne	patronne%1:18:00::
vine	vine%1:20:00::
sod	sod%1:17:00::
caterer	caterer%1:18:00::
polyelectrolyte	polyelectrolyte%1:27:00::
satellite	satellite%1:06:00::
pealing	pealing%1:11:00::
rumpus	rumpus%1:04:00::
hunter	hunter%1:18:00::
schoolroom	schoolroom%1:06:00::
triangle	triangle%1:25:00::
tobacco	tobacco%1:06:00::
rapist	rapist%1:18:00::
juxtaposition	juxtaposition%1:04:00::
adhesive	adhesive%1:27:00::
classicist	classicist%1:18:00::
forte-piano	forte-piano%1:06:00::
chap	chap%1:18:00::
process-server	process-server%1:18:00::
adversity	adversity%1:26:00::
wages	wages%1:11:00::
wager	wager%1:04:00::
leafhopper	leafhopper%1:05:00::
sky	sky%1:17:00::
wings	wings%1:04:00::
someone	someone%1:03:00::
lever	lever%1:06:00::
competence	competence%1:07:00::
pigskin	pigskin%1:27:00::
premise	premise%1:10:00::
gospeler	gospeler%1:18:00::
anaconda	anaconda%1:05:00::
antigen	antigen%1:27:00::
cheese	cheese%1:13:00::
storekeeper	storekeeper%1:18:00::
poverty	poverty%1:26:00::
fibrosis	fibrosis%1:26:00::
tuning	tuning%1:04:00::
soviets	soviets%1:14:00::
one-eighth	one-eighth%1:23:00::
randomization	randomization%1:04:00::
eating	eating%1:04:00::
albany	albany%1:15:00::
musing	musing%1:09:00::
brier	brier%1:20:04::
vaccination	vaccination%1:04:00::
rump	rump%1:05:00::
dictum	dictum%1:10:00::
checkbook	checkbook%1:21:00::
newcastle	newcastle%1:15:00::
mineralogy	mineralogy%1:09:00::
memorandum	memorandum%1:10:00::
egghead	egghead%1:18:00::
courtier	courtier%1:18:00::
lobscouse	lobscouse%1:13:00::
harvard	harvard%1:06:00::
overachievement	overachievement%1:04:00::
commercialization	commercialization%1:04:00::
vaccinating	vaccinating%1:04:00::
triamcinolone	triamcinolone%1:27:00::
duelist	duelist%1:18:00::
pterygium	pterygium%1:08:00::
myelofibrosis	myelofibrosis%1:26:00::
bodyguard	bodyguard%1:18:00::
corona	corona%1:19:00::
toronto	toronto%1:15:00::
micelle	micelle%1:17:00::
lorelei	lorelei%1:18:00::
exclusiveness	exclusiveness%1:07:00::
canada	canada%1:15:00::
discontinuity	discontinuity%1:26:00::
deference	deference%1:04:00::
frambesia	frambesia%1:26:00::
adonis	adonis%1:18:01::
bride	bride%1:18:00::
ancestor	ancestor%1:18:00::
parsonage	parsonage%1:06:00::
bramble	bramble%1:20:02::
sauce	sauce%1:13:00::
cellulose	cellulose%1:27:00::
electrolysis	electrolysis%1:22:00::
diam	diam%1:07:00::
brink	brink%1:25:00::
merchandising	merchandising%1:04:00::
farmer	farmer%1:18:00::
horseman	horseman%1:18:00::
rooms	rooms%1:06:00::
brassica	brassica%1:20:00::
memorization	memorization%1:09:00::
manor	manor%1:06:00::
parliament	parliament%1:14:00::
shrine	shrine%1:06:00::
tar	tar%1:27:00::
doorway	doorway%1:06:00::
inaccuracy	inaccuracy%1:07:02::
sensing	sensing%1:09:00::
transpiration	transpiration%1:22:01::
philosophizing	philosophizing%1:10:00::
subsoil	subsoil%1:27:00::
workweek	workweek%1:28:00::
diet	diet%1:13:00::
wisp	wisp%1:14:01::
croaking	croaking%1:10:00::
rationalization	rationalization%1:09:00::
joker	joker%1:18:00::
shipyard	shipyard%1:06:00::
beating	beating%1:04:01::
incense	incense%1:27:00::
ocelot	ocelot%1:05:00::
perfectibility	perfectibility%1:09:00::
bobbysoxer	bobbysoxer%1:18:00::
milwaukee	milwaukee%1:15:00::
dice	dice%1:06:00::
